Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2015-01-01,1053.4339599609375,1062.3106689513418,1051.5509971972574,1062.3106689513418,366830
2015-01-02,1067.4630126953125,1072.2220988874749,1055.5239744768674,1055.6894674962025,925740
2015-01-05,1051.24072265625,1075.9258546102776,1044.784878572532,1068.1044405770224,1754242
2015-01-06,1012.4850463867188,1046.6263089522367,1009.7537049680509,1046.6263089522367,2423784
2015-01-07,1000.5255737304688,1025.9556307655234,996.2837789098309,1022.1690933634686,2636332
2015-01-08,1011.326171875,1013.4780855371308,1001.7045444806602,1010.7467444440258,1565408
2015-01-09,1039.67431640625,1042.8193915784336,1013.8924593754108,1015.9616276598505,3197642
2015-01-12,1038.5980224609375,1046.171196503099,1026.4106448286439,1041.6190275309732,1596006
2015-01-13,1033.7147216796875,1047.1643112421305,1026.348565761579,1042.8604829955789,1468432
2015-01-14,1043.667724609375,1047.7440263628264,1034.7910132685608,1041.2054346665464,1787096
2015-01-15,1050.7645263671875,1068.414482143726,1044.205225939443,1048.24010197349,5009920
2015-01-16,1047.888671875,1053.2064738558418,1028.0867954523242,1052.668469988608,5293830
2015-01-19,1039.1358642578125,1055.6892033937395,1035.825196430627,1049.4817012177668,1135074
2015-01-20,1034.7705078125,1046.999314478849,1027.652588015653,1042.8609772674702,2058566
2015-01-21,1040.2945556640625,1043.687969776211,1029.7210907199274,1043.687969776211,2310480
2015-01-22,1040.191162109375,1043.3776596932971,1032.7214476012387,1041.4119506666066,2113214
2015-01-23,1036.0738525390625,1047.8473983792258,1032.9701005056138,1040.3776816120069,3150380
2015-01-27,1037.504150390625,1042.8739982457744,1032.3208800216103,1041.7751854218432,2738736
2015-01-28,1053.074951171875,1055.2725773129591,1037.8567849643775,1037.898291630945,3121980
2015-01-29,1055.1695556640625,1065.1421964239164,1042.0040379394131,1052.4120940207922,3734392
2015-01-30,1029.211181640625,1067.7539697379927,1024.214487476832,1061.8242866686035,5817402
2015-02-02,1042.5426025390625,1045.5489003734433,1020.9180317143476,1029.1905137838662,3181802
2015-02-03,1060.80810546875,1063.60707144624,1039.5982037780689,1041.4848331891114,2345054
2015-02-04,1042.5836181640625,1066.3851520723576,1037.524767196722,1064.8509244921602,2245418
2015-02-05,1058.3824462890625,1074.678670787346,1044.5327864783355,1044.9474481641148,4530168
2015-02-06,1068.0650634765625,1075.964390511734,1057.7400258070147,1058.6315081260464,2136416
2015-02-09,1042.0035400390625,1065.3076129199173,1036.6544436043782,1062.1561429170458,2076432
2015-02-10,1012.2512817382812,1047.5390298793875,1008.8718296671151,1040.8007778316723,3799054
2015-02-11,1020.0263061523438,1031.3673444842816,1014.7808759831775,1018.0152575880467,2937522
2015-02-12,1020.9593505859375,1028.2781909519447,1014.6772657934594,1028.2781909519447,3107980
2015-02-13,1052.7222900390625,1056.454244981594,1020.1713497069832,1024.2143008947255,4158326
2015-02-16,1071.8177490234375,1076.0472787737733,1059.4608081953722,1061.5341170176723,2364392
2015-02-18,1092.9033203125,1095.9511250023388,1063.711170417045,1071.921494211326,2660014
2015-02-19,1111.728515625,1114.3201506546009,1092.6333284797518,1093.0479900844878,2618002
