Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2015-06-22,220.27175903320312,224.04771542938198,219.11674787233054,221.43786081588513,19394187
2015-06-23,221.00474548339844,222.71502917932762,220.1162798735755,220.48277453235863,16007498
2015-06-24,220.0940704345703,223.54796902471443,219.1500775712513,221.0047469493276,18603004
2015-06-25,223.1259307861328,224.11434537519565,218.78358172510846,219.22781450045477,27175118
2015-06-26,222.2707977294922,225.24713213604173,221.09357567836653,222.09309572207704,20966796
2015-06-29,220.0829620361328,220.74931865250903,215.89608900669626,219.42772569616355,20168946
2015-06-30,222.1375274658203,222.74834200276948,219.449934607023,219.87195650636235,23184864
2015-07-01,223.37026977539062,224.43642252588748,222.33743337165714,222.33743337165714,14824266
2015-07-02,224.5252685546875,226.50209779224582,223.69233022249188,224.11435211311053,15931202
2015-07-03,223.7145538330078,225.18051767091646,222.79277185609908,224.2809465933532,13831096
2015-07-06,225.56919860839844,226.31327848226755,221.04914764178062,221.24906054109866,12237733
2015-07-07,222.8372039794922,225.80243311738084,222.11532011127815,224.55859312509392,11294999
2015-07-08,221.36012268066406,224.04771543614962,220.26065359101244,221.19352612096552,15190654
2015-07-09,219.31668090820312,222.3374522332169,218.37268801575684,221.2268627657863,16245867
2015-07-10,222.51513671875,223.00379133381168,219.94970369643505,220.13849634180875,16110573
2015-07-13,223.67013549804688,224.89177946207346,221.03806974966935,222.51513906012445,9860248
2015-07-14,221.6266632080078,224.66964528748386,221.04916501565228,224.09214709512833,9942927
2015-07-15,224.59188842773438,225.31375740126933,222.0153502619765,222.05977205560734,13532911
2015-07-16,227.3794403076172,228.29011677194654,224.5918984971356,224.780691128531,14854295
2015-07-17,226.93521118164062,229.03420036676692,226.11339312234634,227.72372772071597,10195142
2015-07-20,227.61265563964844,228.76765190925545,226.09116475153843,228.29010280848902,6348354
2015-07-21,223.84780883789062,228.4344927831357,222.72612881894182,228.33454374072076,7923338
2015-07-22,233.3099365234375,234.0984382517536,223.13704841127867,223.2258920057892,17309440
2015-07-23,232.17715454101562,237.18584570040346,231.26647802947772,233.9984927370561,18642915
2015-07-24,227.6793212890625,233.14335087776163,226.8019610981028,232.7768710332388,13099664
2015-07-27,223.30364990234375,228.75658909513038,222.504042653988,227.64601441144737,20118553
2015-07-28,224.39199829101562,225.82463084033645,222.13751804936166,223.9588709607655,13382878
2015-07-29,221.22683715820312,224.9361755994433,220.36059734210482,224.2253972363993,14790821
2015-07-30,222.1486358642578,223.89225073111865,220.40503582443228,222.13753041483923,11701228
2015-07-31,222.5262451171875,223.8700490331729,219.89417936162772,222.1153286447758,16634259
2015-08-03,222.6595001220703,225.19161671055716,221.9820528842809,222.33744209072813,9887787
2015-08-04,219.44993591308594,223.37027814541983,217.67301953801893,222.87051809820798,12006872
2015-08-05,219.3944091796875,222.2930204257047,218.5836817221005,219.50546367331992,14345010
2015-08-06,217.4397735595703,220.33838457597997,217.11771555354747,220.11626077927502,8708037
2015-08-07,218.6392059326172,220.78261679274186,217.0399620468316,217.45087846673388,8608888
2015-08-10,215.20753479003906,219.62762222488774,214.23022559819506,218.67253875866461,9288894
2015-08-11,214.5634002685547,216.26257846268118,212.78646910366032,215.67397483309625,8762464
2015-08-12,209.4325408935547,214.56340680662845,208.91056994269283,214.03033040632346,9650325
2015-08-13,207.31134033203125,211.88691893687025,206.43398017368838,210.34321698622196,9340350
2015-08-14,214.77438354492188,215.896063452776,207.5223183850373,208.84391118495623,12739366
2015-08-17,211.16502380371094,214.56339493451534,210.1321874085787,214.56339493451534,10857430
2015-08-18,209.69908142089844,212.3422526463148,209.27707432245734,212.3422526463148,6630334
2015-08-19,212.03128051757812,213.45280763546435,208.6662257007065,209.67685120795812,8877298
2015-08-20,203.5242462158203,213.21958445255618,202.9578535163034,213.21958445255618,19008087
2015-08-21,201.6696014404297,202.54696156619502,199.23743397232695,202.12493967682556,20050521
2015-08-24,184.2557373046875,195.46146057805998,181.6903046708433,195.46146057805998,35635706
2015-08-25,188.38711547851562,191.16356693692165,182.8453476657604,186.76567529963268,49504268
2015-08-26,189.55319213867188,194.30645717068793,186.5768432097059,188.30933752220722,18955515
2015-08-27,193.051513671875,195.73910636585686,190.36392097789314,192.5295427611048,26997546
2015-08-28,193.7733917236328,196.12780606288254,192.37406076177473,194.35088986018528,10770215
2015-08-31,190.10848999023438,193.87334073923836,189.64204633632676,193.87334073923836,20708942
2015-09-01,186.54354858398438,189.66426869554462,185.48850128155752,189.66426869554462,21645696
2015-09-02,188.69805908203125,190.3750262991212,187.15435724793366,188.79800811927555,19652369
2015-09-03,189.65316772460938,191.1857641942512,187.5541785191255,189.69758952137857,11659978
2015-09-04,185.66619873046875,188.73139176686212,183.26734749375882,188.73139176686212,16199949
2015-09-07,185.06646728515625,187.46531823225527,183.8448383287168,186.18814720776527,10234633
2015-09-08,188.487060546875,189.45326432921152,183.26735089393625,185.6884130746527,12900468
2015-09-09,194.13987731933594,195.1727136924541,188.9090627621935,191.2412811016704,17340694
2015-09-10,192.57398986816406,193.35140102572743,190.01966222151265,191.24130620810703,11074406
2015-09-11,191.23019409179688,194.59523430182026,190.1751467197655,193.6845577754045,10634833
2015-09-14,191.87429809570312,192.28521450264358,189.22002186329874,191.40785444823467,7964072
2015-09-15,192.57398986816406,193.2403465252287,190.04187312161238,191.4634152091045,11509788
2015-09-16,193.8067169189453,194.8728696546582,192.1741714690746,193.70676788004118,13424811
2015-09-18,198.88206481933594,199.79272648897327,194.8284572085451,195.1171988903458,34261453
2015-09-21,195.03945922851562,197.282819277816,194.58412098372034,195.4614811256699,12732187
2015-09-22,188.33157348632812,196.54984306431484,187.57638811944304,195.46147939693157,15745524
2015-09-23,188.87574768066406,190.3083950397155,186.57686049860945,187.2432022456198,15221260
2015-09-24,185.98826599121094,188.3537859809895,185.41076780527825,188.3537859809895,29076982
2015-09-28,185.29969787597656,186.77676709709064,184.06696336370348,186.5324472152846,11624639
2015-09-29,186.74343872070312,188.8535332357939,183.48945336040572,184.35570799417093,15853471
2015-09-30,191.530029296875,192.085316572443,186.243687316491,189.02013852136568,17292020
2015-10-01,192.06312561035156,194.11769319132446,190.708231041225,194.11769319132446,8663393
2015-10-05,197.2384033203125,197.68263612904587,191.43009011222222,191.64110848056418,16015412
2015-10-06,199.4706573486328,200.014839161058,196.73862801079116,198.93758098488908,12330294
2015-10-07,202.96896362304688,203.91295641958493,197.9047455566079,198.72656359002735,11515191
2015-10-08,197.48272705078125,203.21330179326694,196.84970163504317,203.21330179326694,10753149
2015-10-09,197.09402465820312,201.11431584938148,195.79465745920734,198.58219931896664,9327873
2015-10-12,198.0713348388672,200.25916763119508,197.23839649792367,197.23839649792367,6212395
2015-10-13,198.4822540283203,199.0819631181939,196.10561374041455,196.58316288785807,6162561
2015-10-14,200.55902099609375,201.0143592191187,198.5599809250708,198.97089735336493,8002587
2015-10-15,200.72561645507812,202.34705655475435,199.92600926819992,201.61408206452973,9048478
2015-10-16,203.1910858154297,203.1910858154297,200.7256020806302,200.9032892589818,15246935
2015-10-19,214.0081329345703,214.45235094016584,209.01053210125838,209.01053210125838,33505855
2015-10-20,212.4977264404297,214.71887555920125,211.67589355642613,214.34127546435894,18091895
2015-10-21,212.12013244628906,216.51800901410505,211.67589964435138,212.23118694001468,14404450
2015-10-23,212.2644805908203,216.1292951754911,209.04381165495042,214.1080442976752,12153422
2015-10-26,209.42141723632812,213.89703158906272,209.0771335064893,213.6527117225561,10938775
2015-10-27,208.6884307861328,210.6208381553256,208.210881668148,208.52184905673144,11601798
2015-10-28,208.11094665527344,209.87677241406527,206.54503381226974,208.09984120589826,11958727
2015-10-29,209.01051330566406,209.8989788910309,207.66670947847254,207.89993873747292,13280382
2015-10-30,210.49868774414062,212.3200258824354,208.81061499539632,209.25483296056464,13366359
2015-11-02,213.186279296875,213.5638793920505,209.94339920828148,210.78742816410136,7222044
2015-11-03,214.82992553710938,215.5518093644709,213.508347473474,213.95258025330392,11373522
2015-11-04,211.2982940673828,216.56244003105672,210.165508606643,215.007632678052,10033187
2015-11-05,208.033203125,211.23166142447076,207.23359596364972,210.78742863392736,10767454
2015-11-06,211.54261779785156,212.06458870479767,208.32194876810485,208.6662176718766,8367190
2015-11-09,213.5083465576172,214.34127004257024,205.11237522621246,207.34464456460643,17031699
2015-11-10,204.95692443847656,213.11966753401254,203.52427688754287,212.5643801992922,11486238
2015-11-13,207.2447052001953,208.4663342762392,203.124464897076,203.24662483927335,13682323
2015-11-16,207.5223388671875,209.2326225179144,205.40113877075024,205.67878982661992,15346549
2015-11-17,206.06748962402344,208.544079029495,205.72322068510368,208.35528638557128,8588142
2015-11-18,202.5691680908203,206.8559899319474,202.11382986425502,206.03415706896917,11249222
2015-11-19,207.62228393554688,208.49964405594133,203.7352730170156,204.10176765909748,12183206
2015-11-20,210.30987548828125,211.6314683856384,205.5788208237603,207.455700991956,11304265
2015-11-23,211.84246826171875,212.7642501566092,210.16550102924114,211.00954478333938,10499517
2015-11-24,214.9409942626953,215.80724898209482,211.24277577146725,211.67590313116702,14806176
2015-11-26,219.5942840576172,220.32727329218625,215.06314258006432,215.6739570575161,23805828
2015-11-27,217.4619903564453,220.44944504177525,216.3625212726768,219.67203397276722,10891864
2015-11-30,214.80772399902344,218.6503280744088,213.74157121179127,217.3398405754586,29919205
2015-12-01,214.54119873046875,217.40647885966843,213.50836226459907,214.1191768190424,12981379
2015-12-02,217.2176971435547,217.60640272576677,214.23024209155724,214.61894767376933,7573628
2015-12-03,217.05108642578125,219.66094117571083,216.3625337344281,216.5402209252198,11361395
2015-12-04,214.44122314453125,216.82896881097722,213.54166694990084,215.96271413626013,13443688
2015-12-07,211.46487426757812,216.11819051743453,210.9540088221639,214.44120852722452,14483909
2015-12-08,208.98829650878906,211.8091546462144,207.92214376725443,210.7652128023353,7532164
2015-12-09,203.43539428710938,209.5546740731378,202.7579471305673,207.9443396284514,9174419
2015-12-10,211.08729553222656,211.85358636426832,204.34609502658088,204.90138232101214,18592203
2015-12-11,211.66477966308594,213.00858342601234,209.43252518431618,211.3982488964432,18155513
2015-12-14,212.142333984375,214.00810870477991,210.12108297961453,210.47647217089036,10563900
2015-12-15,216.7623291015625,217.21766732214934,211.8202561938809,212.56435090570608,15718833
2015-12-16,217.37315368652344,219.34998294129852,216.22926277119825,216.76233915687644,12097338
2015-12-17,224.26983642578125,225.44705854743376,217.22878872992098,217.68412698396014,19369032
2015-12-18,220.31617736816406,224.11434460237453,219.89415549168862,222.9593482866775,16016139
2015-12-21,220.36061096191406,221.89320744147045,218.6392218448673,219.42772356965625,12331769
2015-12-22,219.29446411132812,222.69282064030497,218.56147478599436,220.51609321750377,11579277
2015-12-23,222.9593505859375,223.64790323758172,219.8941577593389,220.29396874259837,12919467
2015-12-24,222.23745727539062,223.71452638172568,221.2934793420045,222.98155196623006,11901877
2015-12-28,224.42532348632812,225.16940341232802,222.1153159095904,222.24858130044979,12885935
